TIRF Data File: Project 1792; Run 13; ISO False; ID 3q92C5n
ET	V	SA	IA	RL	FX	FY	FZ	MX	MZ	NFX	NFY	P	N	RE	TSTO	TSTC	TSTI	TSTSI	RST	CFZ	CV	CSA	CSR	CP	CIA	AmbTmp	TLT1	TLT2	TLT3	TLT4	TLT5	TLT6	TLT7	TLT8
s	kph	deg	deg	cm	N	N	N	Nm	Nm	none	none	psi	rpm	cm	deg c	deg c	deg c	deg c	deg c	N	kph	deg	none	psi	deg	deg c								
1330.34	3.18	14.392	-1.474	30.39	-155.28	-10644.00	-6184.60	47.93	54.63	0.03	1.72	24.35	25.35	32.21	54.58	56.76	88.52	74.26	25.84	-6249.75	4.94	15.000	0.00	24.00	-1.500	26.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.35	3.16	14.424	-1.477	30.39	-152.46	-10655.51	-6209.09	47.90	56.99	0.02	1.72	24.32	25.35	32.02	54.58	56.79	88.52	74.31	25.83	-6249.75	4.94	15.000	0.00	24.00	-1.500	26.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.36	3.18	14.447	-1.483	30.38	-153.31	-10680.46	-6231.93	49.69	60.29	0.02	1.71	24.28	25.72	31.74	54.55	56.83	88.53	74.39	25.83	-6249.75	5.04	15.000	0.00	24.00	-1.500	26.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.37	3.22	14.471	-1.478	30.38	-158.64	-10740.88	-6238.38	42.36	63.53	0.03	1.72	24.26	25.72	32.11	54.52	56.85	88.55	74.52	25.84	-6249.75	5.04	15.000	0.00	24.00	-1.500	26.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.38	3.23	14.498	-1.487	30.37	-163.32	-10818.50	-6233.24	31.67	66.84	0.03	1.74	24.26	26.08	31.84	54.50	56.90	88.57	74.66	25.84	-6249.75	5.13	15.000	0.00	24.00	-1.500	26.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.39	3.23	14.516	-1.483	30.37	-164.06	-10886.86	-6241.39	24.73	68.99	0.03	1.74	24.26	26.33	31.55	54.47	56.97	88.60	74.78	25.84	-6249.75	5.13	15.000	0.00	24.00	-1.500	26.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.40	3.27	14.533	-1.480	30.36	-164.81	-10918.46	-6277.39	31.81	69.19	0.03	1.74	24.28	26.08	32.21	54.42	57.02	88.60	74.78	25.82	-6249.75	5.23	15.000	0.00	24.00	-1.500	26.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.41	3.29	14.552	-1.478	30.35	-164.55	-10924.02	-6314.32	42.05	69.37	0.03	1.73	24.29	26.57	31.79	54.44	57.04	88.57	74.69	25.81	-6249.75	5.23	15.000	0.00	24.00	-1.500	26.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.42	3.31	14.574	-1.484	30.35	-161.91	-10920.44	-6340.89	51.16	71.25	0.03	1.72	24.33	27.06	31.39	54.42	57.05	88.55	74.56	25.79	-6249.75	5.33	15.000	0.00	24.00	-1.500	26.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.43	3.35	14.580	-1.483	30.35	-147.85	-10917.98	-6335.40	48.84	76.37	0.02	1.72	24.37	27.30	31.46	54.40	57.08	88.52	74.39	25.79	-6249.75	5.33	15.000	0.00	24.00	-1.500	26.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
