TIRF Data File: Project 1792; Run 43; ISO False; ID B6CAXC0
ET	V	SA	IA	RL	FX	FY	FZ	MX	MZ	NFX	NFY	P	N	RE	TSTO	TSTC	TSTI	TSTSI	RST	CFZ	CV	CSA	CSR	CP	CIA	AmbTmp	TLT1	TLT2	TLT3	TLT4	TLT5	TLT6	TLT7	TLT8
s	kph	deg	deg	cm	N	N	N	Nm	Nm	none	none	psi	rpm	cm	deg c	deg c	deg c	deg c	deg c	N	kph	deg	none	psi	deg	deg c								
1333.83	3.14	14.374	-1.477	30.40	-129.39	-10822.98	-6184.39	14.43	30.09	0.02	1.75	24.31	24.90	32.42	54.39	59.20	91.85	76.07	25.69	-6249.75	4.84	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.84	3.12	14.409	-1.478	30.38	-154.31	-10847.49	-6199.31	16.19	22.33	0.02	1.75	24.34	25.14	31.90	54.47	59.31	91.87	76.02	25.65	-6249.75	4.94	15.000	0.00	24.00	-1.500	26.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.85	3.20	14.434	-1.480	30.38	-181.31	-10860.61	-6221.15	23.11	15.55	0.03	1.75	24.32	25.38	32.35	54.50	59.41	91.89	75.97	25.64	-6249.75	4.94	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.86	3.18	14.457	-1.483	30.38	-192.01	-10872.54	-6234.08	25.97	14.03	0.03	1.74	24.33	25.63	31.85	54.53	59.57	91.87	75.91	25.63	-6249.75	5.04	15.000	0.00	24.00	-1.500	26.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.87	3.22	14.476	-1.474	30.37	-180.52	-10893.01	-6234.09	17.80	18.28	0.03	1.75	24.32	25.87	31.92	54.65	59.68	91.90	75.83	25.60	-6249.75	5.04	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.88	3.23	14.492	-1.480	30.37	-157.07	-10913.19	-6235.66	7.65	26.13	0.03	1.75	24.33	25.87	32.10	54.74	59.70	91.99	75.71	25.57	-6249.75	5.13	15.000	0.00	24.00	-1.500	26.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.89	3.25	14.519	-1.484	30.36	-139.12	-10925.46	-6249.05	5.80	32.97	0.02	1.75	24.33	26.48	31.54	54.82	59.77	91.99	75.58	25.53	-6249.75	5.13	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.90	3.27	14.525	-1.481	30.36	-136.93	-10934.23	-6282.83	14.61	35.89	0.02	1.74	24.33	26.85	31.29	54.92	59.80	92.00	75.44	25.52	-6249.75	5.23	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.91	3.31	14.545	-1.484	30.35	-145.57	-10947.30	-6308.15	25.41	36.18	0.02	1.74	24.32	27.09	31.36	55.03	59.84	92.02	75.36	25.49	-6249.75	5.23	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.92	3.35	14.560	-1.480	30.34	-152.65	-10962.03	-6316.20	27.28	36.42	0.02	1.74	24.31	27.58	31.15	55.16	59.86	92.13	75.26	25.48	-6249.75	5.33	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.93	3.40	14.573	-1.484	30.34	-147.67	-10967.93	-6312.39	23.81	38.13	0.02	1.74	24.29	27.70	31.53	55.29	59.92	92.20	75.13	25.48	-6249.75	5.33	15.000	0.00	24.00	-1.500	26.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.94	3.42	14.592	-1.478	30.34	-134.83	-10955.30	-6310.73	22.24	41.28	0.02	1.74	24.29	27.70	31.70	55.35	60.00	92.28	74.99	25.46	-6249.75	5.42	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.95	3.48	14.595	-1.486	30.34	-113.57	-10938.50	-6311.57	25.15	48.14	0.02	1.73	24.29	28.19	31.66	55.48	60.04	92.33	74.86	25.47	-6249.75	5.42	15.000	0.00	24.00	-1.500	26.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.96	3.55	14.599	-1.477	30.33	-90.23	-10936.96	-6319.67	29.50	57.16	0.01	1.73	24.29	28.56	31.92	55.55	60.09	92.43	74.73	25.48	-6249.75	5.52	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.97	3.55	14.614	-1.484	30.33	-75.78	-10949.87	-6324.79	29.92	64.44	0.01	1.73	24.29	28.92	31.51	55.58	60.13	92.47	74.65	25.49	-6249.75	5.52	15.000	0.00	24.00	-1.500	26.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.98	3.59	14.615	-1.480	30.33	-79.62	-10965.02	-6335.91	27.61	67.27	0.01	1.73	24.31	29.41	31.32	55.64	60.17	92.42	74.50	25.55	-6249.75	5.62	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.99	3.64	14.625	-1.490	30.32	-90.88	-10976.63	-6348.66	23.72	67.63	0.01	1.73	24.31	29.90	31.28	55.66	60.19	92.50	74.37	25.60	-6249.75	5.62	15.000	0.00	24.00	-1.500	26.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.00	3.66	14.628	-1.473	30.31	-91.04	-10973.92	-6381.23	24.56	70.08	0.01	1.72	24.32	30.27	31.06	55.64	60.23	92.50	74.29	25.66	-6249.75	5.71	15.000	0.00	24.00	-1.500	26.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.01	3.76	14.646	-1.477	30.32	-77.01	-10965.28	-6408.83	24.21	75.53	0.01	1.71	24.32	30.39	31.72	55.68	60.27	92.53	74.16	25.70	-6249.75	5.71	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.02	3.79	14.652	-1.484	30.32	-54.34	-10955.21	-6423.33	21.72	82.61	0.01	1.71	24.31	30.51	31.91	55.72	60.32	92.50	74.08	25.73	-6249.75	5.81	15.000	0.00	24.00	-1.500	26.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.03	3.83	14.663	-1.493	30.32	-40.45	-10952.49	-6424.49	19.12	86.39	0.01	1.70	24.33	30.51	32.22	55.77	60.35	92.52	74.03	25.75	-6249.75	5.81	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.04	3.87	14.674	-1.486	30.31	-46.98	-10955.68	-6422.50	15.74	84.41	0.01	1.71	24.32	31.24	31.77	55.77	60.31	92.53	73.95	25.72	-6249.75	5.91	15.000	0.00	24.00	-1.500	26.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.05	3.92	14.688	-1.480	30.31	-66.74	-10966.46	-6416.51	15.57	79.40	0.01	1.71	24.32	31.61	31.86	55.79	60.34	92.60	73.77	25.67	-6249.75	5.91	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.06	3.96	14.696	-1.483	30.31	-82.92	-10985.29	-6409.01	18.04	75.24	0.01	1.71	24.32	31.97	31.79	55.82	60.33	92.62	73.59	25.64	-6249.75	6.00	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.07	4.02	14.712	-1.487	30.31	-82.99	-11019.77	-6402.21	23.28	74.56	0.01	1.72	24.35	32.58	31.63	55.87	60.28	92.67	73.38	25.60	-6249.75	6.00	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.08	4.07	14.718	-1.481	30.31	-74.77	-11075.19	-6395.97	28.18	75.95	0.01	1.73	24.35	32.95	31.72	55.90	60.33	92.75	73.22	25.58	-6249.75	6.10	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.09	4.09	14.726	-1.483	30.31	-74.83	-11135.12	-6377.62	29.74	75.27	0.01	1.75	24.34	33.19	31.63	55.92	60.28	92.83	73.04	25.54	-6249.75	6.10	15.000	0.00	24.00	-1.500	26.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.10	4.15	14.741	-1.480	30.30	-86.44	-11170.41	-6366.43	32.56	70.99	0.01	1.75	24.32	33.68	31.59	55.92	60.26	92.91	72.93	25.52	-6249.75	6.20	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.11	4.22	14.751	-1.486	30.30	-105.59	-11169.54	-6364.87	33.27	61.52	0.02	1.75	24.33	34.17	31.70	55.95	60.23	93.00	72.85	25.48	-6249.75	6.20	15.000	0.00	24.00	-1.500	26.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.12	4.28	14.760	-1.477	30.30	-113.25	-11133.50	-6368.51	30.72	53.50	0.02	1.75	24.33	34.54	31.78	55.93	60.20	93.01	72.72	25.44	-6249.75	6.29	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.13	4.33	14.775	-1.480	30.30	-109.10	-11093.81	-6377.68	26.93	48.94	0.02	1.74	24.32	35.02	31.74	56.01	60.18	93.03	72.62	25.40	-6249.75	6.29	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
