TIRF Data File: Project 1792; Run 10; ISO False; ID -_DTFHg
ET	V	SA	IA	RL	FX	FY	FZ	MX	MZ	NFX	NFY	P	N	RE	TSTO	TSTC	TSTI	TSTSI	RST	CFZ	CV	CSA	CSR	CP	CIA	AmbTmp	TLT1	TLT2	TLT3	TLT4	TLT5	TLT6	TLT7	TLT8
s	kph	deg	deg	cm	N	N	N	Nm	Nm	none	none	psi	rpm	cm	deg c	deg c	deg c	deg c	deg c	N	kph	deg	none	psi	deg	deg c								
1330.33	3.12	14.394	-1.487	30.84	-163.52	-10853.30	-6186.28	11.54	21.58	0.03	1.75	24.13	24.80	32.34	54.71	56.70	85.80	80.12	24.73	-6249.75	4.84	15.000	0.00	24.00	-1.500	26.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.34	3.14	14.424	-1.490	30.82	-157.91	-10937.42	-6177.95	-0.60	22.08	0.03	1.77	24.12	24.68	32.69	54.74	56.69	85.85	80.15	24.72	-6249.75	4.94	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.35	3.14	14.446	-1.490	30.82	-152.92	-10994.91	-6190.13	7.60	22.17	0.02	1.78	24.12	25.05	32.21	54.73	56.70	85.95	80.20	24.72	-6249.75	4.94	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.36	3.18	14.472	-1.487	30.81	-157.15	-11036.08	-6212.47	29.66	20.01	0.03	1.78	24.11	24.92	32.75	54.73	56.74	86.03	80.25	24.72	-6249.75	5.04	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.37	3.16	14.495	-1.491	30.81	-167.71	-11070.76	-6228.95	48.45	16.57	0.03	1.78	24.14	25.29	32.08	54.76	56.80	86.15	80.28	24.70	-6249.75	5.04	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.38	3.18	14.517	-1.494	30.80	-176.54	-11103.36	-6231.84	54.39	14.85	0.03	1.78	24.18	25.17	32.42	54.76	56.85	86.23	80.26	24.69	-6249.75	5.13	15.000	0.00	24.00	-1.500	26.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.39	3.20	14.529	-1.484	30.79	-176.74	-11125.10	-6223.10	54.22	15.12	0.03	1.79	24.21	25.41	32.30	54.74	56.91	86.31	80.18	24.69	-6249.75	5.13	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.40	3.20	14.548	-1.491	30.79	-166.07	-11126.17	-6212.85	52.23	18.88	0.03	1.79	24.21	25.66	31.99	54.74	56.97	86.43	80.10	24.71	-6249.75	5.23	15.000	0.00	24.00	-1.500	26.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.41	3.25	14.566	-1.491	30.78	-149.34	-11102.38	-6215.80	55.61	24.93	0.02	1.79	24.22	25.90	32.24	54.69	57.02	86.51	79.94	24.74	-6249.75	5.23	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.42	3.25	14.577	-1.497	30.78	-130.13	-11067.09	-6231.12	58.17	34.10	0.02	1.78	24.21	26.14	31.94	54.74	57.10	86.51	79.83	24.77	-6249.75	5.33	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.43	3.27	14.593	-1.499	30.78	-114.89	-11029.85	-6247.29	53.98	44.34	0.02	1.77	24.22	26.51	31.68	54.74	57.16	86.59	79.73	24.81	-6249.75	5.33	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.44	3.33	14.601	-1.497	30.77	-107.09	-11001.20	-6277.40	48.20	53.74	0.02	1.75	24.21	26.76	31.92	54.74	57.20	86.58	79.73	24.83	-6249.75	5.42	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.45	3.36	14.618	-1.500	30.77	-112.26	-10980.88	-6314.81	44.30	60.17	0.02	1.74	24.22	26.76	32.28	54.74	57.25	86.59	79.74	24.83	-6249.75	5.42	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.46	3.38	14.615	-1.491	30.76	-125.86	-10975.97	-6363.69	46.21	63.61	0.02	1.72	24.24	27.37	31.73	54.76	57.28	86.66	79.79	24.84	-6249.75	5.52	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.47	3.44	14.628	-1.483	30.76	-140.34	-10986.28	-6408.25	52.03	65.49	0.02	1.71	24.23	27.37	32.26	54.79	57.32	86.76	79.87	24.82	-6249.75	5.52	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.48	3.46	14.643	-1.486	30.75	-142.28	-11011.07	-6435.89	57.95	67.59	0.02	1.71	24.21	27.98	31.72	54.84	57.40	86.79	79.94	24.82	-6249.75	5.62	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.49	3.50	14.649	-1.496	30.75	-130.58	-11045.18	-6425.43	53.54	71.34	0.02	1.72	24.21	28.10	31.92	54.85	57.46	86.91	80.08	24.82	-6249.75	5.62	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.50	3.57	14.663	-1.489	30.75	-110.64	-11081.44	-6410.42	50.75	76.19	0.02	1.73	24.19	28.46	32.18	54.89	57.51	87.01	80.20	24.79	-6249.75	5.71	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
