TIRF Data File: Project 1792; Run 42; ISO False; ID Ufy_hzq
ET	V	SA	IA	RL	FX	FY	FZ	MX	MZ	NFX	NFY	P	N	RE	TSTO	TSTC	TSTI	TSTSI	RST	CFZ	CV	CSA	CSR	CP	CIA	AmbTmp	TLT1	TLT2	TLT3	TLT4	TLT5	TLT6	TLT7	TLT8
s	kph	deg	deg	cm	N	N	N	Nm	Nm	none	none	psi	rpm	cm	deg c	deg c	deg c	deg c	deg c	N	kph	deg	none	psi	deg	deg c								
1333.83	3.14	14.392	-1.491	30.89	-118.54	-10744.45	-6187.23	35.06	31.34	0.02	1.74	24.38	24.25	33.28	58.22	61.19	94.54	78.11	25.71	-6249.75	4.84	15.000	0.00	24.00	-1.500	26.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.84	3.14	14.415	-1.481	30.88	-126.65	-10768.41	-6202.75	36.66	27.81	0.02	1.74	24.36	24.25	33.28	58.12	61.04	94.39	78.01	25.74	-6249.75	4.94	15.000	0.00	24.00	-1.500	26.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.85	3.12	14.437	-1.489	30.88	-140.68	-10805.44	-6204.34	30.13	22.37	0.02	1.74	24.35	24.49	32.75	57.93	60.91	94.22	77.96	25.78	-6249.75	4.94	15.000	0.00	24.00	-1.500	26.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.86	3.12	14.462	-1.486	30.86	-163.68	-10831.63	-6212.77	33.03	14.53	0.03	1.74	24.32	24.98	32.10	57.74	60.78	94.04	77.93	25.83	-6249.75	5.04	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.87	3.16	14.488	-1.484	30.86	-189.95	-10847.57	-6228.24	41.56	7.21	0.03	1.74	24.33	24.98	32.48	57.66	60.63	93.89	77.90	25.87	-6249.75	5.04	15.000	0.00	24.00	-1.500	26.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.88	3.20	14.506	-1.487	30.86	-198.63	-10859.13	-6240.55	48.50	6.84	0.03	1.74	24.32	25.10	32.70	57.43	60.46	93.74	77.87	25.89	-6249.75	5.13	15.000	0.00	24.00	-1.500	26.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.89	3.20	14.528	-1.491	30.85	-184.23	-10876.36	-6231.58	40.50	14.11	0.03	1.75	24.31	25.22	32.54	57.17	60.31	93.59	77.85	25.91	-6249.75	5.13	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.90	3.22	14.544	-1.493	30.85	-162.80	-10895.75	-6220.47	29.33	25.24	0.03	1.75	24.30	25.96	31.81	57.00	60.14	93.44	77.87	25.95	-6249.75	5.23	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.91	3.22	14.552	-1.491	30.84	-147.03	-10908.66	-6233.57	29.35	34.88	0.02	1.75	24.31	26.08	31.66	56.79	60.00	93.26	77.87	26.02	-6249.75	5.23	15.000	0.00	24.00	-1.500	26.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.92	3.25	14.564	-1.486	30.83	-133.79	-10902.53	-6264.09	37.48	42.78	0.02	1.74	24.31	26.20	31.87	56.63	59.86	93.13	77.88	26.06	-6249.75	5.33	15.000	0.00	24.00	-1.500	26.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.93	3.31	14.574	-1.487	30.83	-123.04	-10885.73	-6303.62	47.63	47.55	0.02	1.73	24.29	26.57	31.97	56.37	59.73	93.01	77.87	26.10	-6249.75	5.33	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.94	3.33	14.586	-1.487	30.82	-107.90	-10870.93	-6329.77	51.82	51.71	0.02	1.72	24.31	27.18	31.43	56.22	59.66	92.88	77.87	26.13	-6249.75	5.42	15.000	0.00	24.00	-1.500	26.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.95	3.40	14.604	-1.481	30.82	-93.84	-10873.74	-6336.74	45.20	54.04	0.01	1.72	24.31	27.30	31.99	56.05	59.60	92.76	77.79	26.14	-6249.75	5.42	15.000	0.00	24.00	-1.500	26.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.96	3.44	14.614	-1.493	30.82	-94.90	-10884.35	-6323.98	37.70	54.04	0.02	1.72	24.31	27.54	32.05	55.89	59.49	92.72	77.75	26.14	-6249.75	5.52	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.97	3.48	14.612	-1.487	30.81	-109.84	-10887.82	-6332.43	39.23	52.21	0.02	1.72	24.31	28.15	31.70	55.72	59.45	92.60	77.69	26.14	-6249.75	5.52	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.98	3.51	14.625	-1.487	30.81	-130.22	-10875.68	-6343.44	43.94	51.22	0.02	1.71	24.31	28.15	32.04	55.64	59.40	92.55	77.66	26.12	-6249.75	5.62	15.000	0.00	24.00	-1.500	26.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1333.99	3.57	14.634	-1.494	30.81	-135.09	-10856.50	-6361.14	45.15	54.06	0.02	1.71	24.29	28.76	31.85	55.58	59.36	92.53	77.64	26.08	-6249.75	5.62	15.000	0.00	24.00	-1.500	26.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.00	3.63	14.643	-1.494	30.81	-118.54	-10841.89	-6382.01	42.38	60.05	0.02	1.70	24.30	29.13	31.95	55.55	59.35	92.55	77.64	26.08	-6249.75	5.71	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.01	3.70	14.644	-1.490	30.80	-93.12	-10846.15	-6398.53	38.48	66.90	0.01	1.70	24.30	29.49	32.20	55.51	59.38	92.58	77.59	26.05	-6249.75	5.71	15.000	0.00	24.00	-1.500	26.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.02	3.72	14.659	-1.490	30.80	-77.63	-10869.13	-6408.73	38.58	70.95	0.01	1.70	24.29	29.86	31.96	55.58	59.38	92.60	77.58	26.04	-6249.75	5.81	15.000	0.00	24.00	-1.500	26.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.03	3.79	14.665	-1.486	30.80	-74.27	-10901.72	-6417.18	42.79	72.38	0.01	1.70	24.29	30.47	31.95	55.61	59.39	92.70	77.46	26.01	-6249.75	5.81	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.04	3.81	14.684	-1.489	30.80	-83.72	-10944.21	-6411.06	45.58	70.26	0.01	1.71	24.29	30.84	31.72	55.64	59.40	92.76	77.40	26.01	-6249.75	5.91	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.05	3.89	14.696	-1.483	30.79	-89.08	-10977.09	-6397.86	46.54	68.09	0.01	1.72	24.29	31.20	31.96	55.69	59.43	92.80	77.40	26.00	-6249.75	5.91	15.000	0.00	24.00	-1.500	26.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.06	3.94	14.700	-1.486	30.79	-86.24	-10987.92	-6384.63	45.94	66.25	0.01	1.72	24.27	31.57	32.05	55.74	59.51	92.90	77.36	25.98	-6249.75	6.00	15.000	0.00	24.00	-1.500	26.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.07	3.98	14.722	-1.491	30.79	-80.04	-10979.06	-6381.22	45.91	63.91	0.01	1.72	24.29	31.81	32.10	55.79	59.61	93.00	77.30	25.94	-6249.75	6.00	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.08	4.04	14.720	-1.497	30.80	-77.41	-10964.79	-6383.16	46.40	60.07	0.01	1.72	24.29	32.18	32.18	55.80	59.72	93.03	77.15	25.90	-6249.75	6.10	15.000	0.00	24.00	-1.500	26.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.09	4.09	14.729	-1.484	30.78	-79.39	-10958.76	-6390.33	49.11	55.70	0.01	1.71	24.27	32.42	32.38	55.90	59.92	93.16	77.06	25.86	-6249.75	6.10	15.000	0.00	24.00	-1.500	26.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.10	4.13	14.744	-1.493	30.79	-88.32	-10962.81	-6398.10	51.85	50.08	0.01	1.71	24.29	32.91	32.19	56.00	60.09	93.25	76.90	25.83	-6249.75	6.20	15.000	0.00	24.00	-1.500	26.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.11	4.22	14.750	-1.478	30.78	-101.99	-10962.37	-6402.39	51.83	43.90	0.02	1.71	24.28	33.16	32.67	56.13	60.22	93.31	76.73	25.79	-6249.75	6.20	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.12	4.22	14.760	-1.484	30.78	-112.24	-10951.71	-6412.37	54.60	39.40	0.02	1.71	24.29	33.40	32.43	56.16	60.34	93.40	76.68	25.78	-6249.75	6.29	15.000	0.00	24.00	-1.500	26.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
