event,session,car,driver,lap,kph,parse_error,vehicle,report_type,round,source_file,extracted_at
TAS,P01,1,Chaz Mostert,9,206,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,1,Chaz Mostert,10,246,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,1,Chaz Mostert,11,243,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,1,Chaz Mostert,12,249,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,1,Chaz Mostert,13,247,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,1,Chaz Mostert,14,250,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,2,Ryan Wood,1,221,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,2,Ryan Wood,2,146,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,2,Ryan Wood,3,216,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,2,Ryan Wood,4,198,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,2,Ryan Wood,5,185,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,2,Ryan Wood,6,252,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,2,Ryan Wood,7,252,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,2,Ryan Wood,8,245,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,2,Ryan Wood,9,230,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,2,Ryan Wood,10,247,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,2,Ryan Wood,11,248,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,2,Ryan Wood,12,239,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
