event,session,car,driver,lap,kph,parse_error,vehicle,report_type,round,source_file,extracted_at
TAS,R15,19,Matthew Payne,15,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,16,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,17,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,18,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,19,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,20,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,21,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,22,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,23,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,24,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,25,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,26,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,27,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,28,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,29,252,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,30,249,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,31,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,32,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,33,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,34,252,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,35,246,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,36,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,37,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,38,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,39,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,40,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,41,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,42,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,43,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,44,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,45,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,46,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,47,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,48,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,49,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,19,Matthew Payne,50,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,1,247,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,2,249,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,3,251,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,4,250,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,5,250,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,6,250,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,7,250,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,8,249,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,9,250,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,10,250,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,11,250,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,12,250,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,13,250,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,14,252,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,15,249,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,16,250,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,17,249,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,18,249,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,19,250,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,20,251,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,21,250,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,22,251,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,23,248,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,24,250,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,25,244,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,26,246,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,27,247,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,28,247,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,29,248,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,30,248,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,31,248,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,32,249,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,33,249,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,34,249,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,35,250,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,36,249,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,37,249,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,38,251,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,39,251,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,40,251,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,41,253,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,42,253,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,43,254,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,44,254,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,45,254,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,46,253,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,47,255,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,48,250,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,49,254,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,20,David Reynolds,50,253,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,1,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,2,244,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,3,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,4,246,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,5,253,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,6,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,7,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,8,247,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,9,254,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,10,253,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,11,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,12,252,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,13,252,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,14,247,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,15,246,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,16,247,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,17,248,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,18,248,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,19,248,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,20,249,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,21,248,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,22,248,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,23,248,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,24,248,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,25,248,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,26,249,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,27,249,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,28,249,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,29,246,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,30,252,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,31,252,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,32,252,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,33,252,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,34,252,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,35,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,36,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,37,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,38,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,39,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,40,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,41,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,42,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,43,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,44,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,45,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,46,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,47,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,48,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,49,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,26,Kai Allen,50,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,1,252,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,2,249,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,3,249,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,4,251,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,5,251,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,6,251,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,7,251,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,8,248,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,9,250,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,10,253,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,11,252,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,12,251,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,13,253,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,14,252,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,15,249,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,16,248,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,17,248,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,18,249,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,19,248,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,20,249,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,21,249,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,22,249,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,23,250,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,24,250,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,25,249,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
TAS,R15,31,Jayden Ojeda,26,250,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Race 15.pdf,26/05/2026 8:36
