event,session,car,driver,lap,kph,parse_error,vehicle
DAR,E06DAR_RACE_R18,1,Chaz Mostert,1,198,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,2,261,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,3,265,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,4,265,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,5,263,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,6,264,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,7,265,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,8,260,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,9,260,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,10,260,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,11,260,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,12,262,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,13,263,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,14,263,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,15,265,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,16,262,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,17,261,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,18,262,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,19,262,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,20,263,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,21,264,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,22,260,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,23,260,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,24,261,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,25,261,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,26,260,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,27,177,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,28,262,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,29,262,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,30,258,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,31,260,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,32,260,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,33,262,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,34,262,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,35,265,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,36,262,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,37,265,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,38,261,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,39,261,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,40,262,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,41,262,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,42,264,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,43,260,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,44,262,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,45,261,false,Toyota
DAR,E06DAR_RACE_R18,1,Chaz Mostert,46,263,false,Toyota
