event,session,car,driver,lap,kph,parse_error,vehicle
DAR,Q09,1,Chaz Mostert,1,81,false,Toyota
DAR,Q09,1,Chaz Mostert,2,87,false,Toyota
DAR,Q09,1,Chaz Mostert,3,261,false,Toyota
DAR,Q09,1,Chaz Mostert,4,261,false,Toyota
DAR,Q09,1,Chaz Mostert,5,83,false,Toyota
DAR,Q09,1,Chaz Mostert,6,262,false,Toyota
DAR,Q09,1,Chaz Mostert,7,262,false,Toyota
DAR,Q09,1,Chaz Mostert,8,82,false,Toyota
DAR,Q09,1,Chaz Mostert,9,262,false,Toyota
DAR,Q09,2,Ryan Wood,1,56,false,Toyota
DAR,Q09,2,Ryan Wood,2,262,false,Toyota
DAR,Q09,2,Ryan Wood,3,262,false,Toyota
DAR,Q09,2,Ryan Wood,4,261,false,Toyota
DAR,Q09,2,Ryan Wood,5,73,false,Toyota
DAR,Q09,2,Ryan Wood,6,263,false,Toyota
DAR,Q09,2,Ryan Wood,7,264,false,Toyota
DAR,Q09,2,Ryan Wood,8,115,false,Toyota
DAR,Q09,2,Ryan Wood,9,261,false,Toyota
DAR,Q09,2,Ryan Wood,10,262,false,Toyota
DAR,Q09,2,Ryan Wood,11,92,false,Toyota
DAR,Q09,2,Ryan Wood,12,261,false,Toyota
DAR,Q09,2,Ryan Wood,13,261,false,Toyota
DAR,Q09,3,Aaron Cameron,1,72,false,Ford
DAR,Q09,3,Aaron Cameron,2,261,false,Ford
DAR,Q09,3,Aaron Cameron,3,261,false,Ford
DAR,Q09,3,Aaron Cameron,4,261,false,Ford
DAR,Q09,3,Aaron Cameron,5,89,false,Ford
DAR,Q09,3,Aaron Cameron,6,263,false,Ford
DAR,Q09,3,Aaron Cameron,7,262,false,Ford
DAR,Q09,3,Aaron Cameron,8,81,false,Ford
DAR,Q09,3,Aaron Cameron,9,262,false,Ford
DAR,Q09,3,Aaron Cameron,10,261,false,Ford
DAR,Q09,4,Jack Le Brocq,1,101,false,Chevrolet
DAR,Q09,4,Jack Le Brocq,2,266,false,Chevrolet
DAR,Q09,4,Jack Le Brocq,3,265,false,Chevrolet
DAR,Q09,4,Jack Le Brocq,4,252,false,Chevrolet
DAR,Q09,4,Jack Le Brocq,5,110,false,Chevrolet
DAR,Q09,4,Jack Le Brocq,6,264,false,Chevrolet
DAR,Q09,4,Jack Le Brocq,7,264,false,Chevrolet
DAR,Q09,4,Jack Le Brocq,8,105,false,Chevrolet
DAR,Q09,4,Jack Le Brocq,9,266,false,Chevrolet
DAR,Q09,4,Jack Le Brocq,10,266,false,Chevrolet
DAR,Q09,4,Jack Le Brocq,11,139,false,Chevrolet
DAR,Q09,4,Jack Le Brocq,12,265,false,Chevrolet
